Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name
99422,Blackberrys Coupon Code - Buy 2 Get 30% Off on Linen Shirs For Men,Blackberrys,Fashion,Get 30% off your purchase when you buy two linen shirts!This offer is for all fashion enthusiasts.Starting at only Rs.2076!Don't miss out – grab this deal today!,,,https://linksredirect.com/?pub_id=203477&url=http://www.blackberrys.com/,live,2025-05-20,2026-09-30,20/05/2025,https://cdn0.cuelinks.com/campaigns/2445/original/logo20250811-880075-lxteaz.jpg?1754903439,2445,blackberrys
99443,Shop Everyday Slides For Men Starting From Rs.1499,Pepe Jeans,Fashion,Get comfortable slides priced from just Rs.1499.Take advantage of this limited-time promotion.Available to everyone!Grab this deal before it's gone!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.pepejeans.in/,live,2025-05-20,2027-04-20,20/05/2025,https://cdn0.cuelinks.com/campaigns/6205/original/New_Project_-_2024-02-28T115304.944.png?1709101402,6205,Pepe Jeans
99480,Buy 1 Get 1 Free on All Orders,Aqualogica,"Food & Grocery,Entertainment,Services",Act fast—this amazing offer won't last!Add your selected items and score a bonus freebie.It's a great way to stock up!Grab this deal while it’s hot!,,"",https://linksredirect.com/?pub_id=203477&url=https://aqualogica.in/,live,2025-05-21,2026-11-30,21/05/2025,https://cdn0.cuelinks.com/campaigns/5183/original/Aqualogica-Storelogo.jpg?1680692451,5183,Aqualogica
99492,Glow+ Dewy Sunscreen SPF 50+ PA++++  - 50g At Rs.449.,Aqualogica,"Food & Grocery,Entertainment,Services","Protect against harmful UV rays with SPF 50+ and anti-pollution benefits.Enriched with papaya and vitamin C for a refreshing glow.Suitable for all skin types - get ready to shine!Act fast, this limited time offer won’t last long!",,"",https://linksredirect.com/?pub_id=203477&url=https://aqualogica.in/,live,2025-05-21,2026-10-31,21/05/2025,https://cdn0.cuelinks.com/campaigns/5183/original/Aqualogica-Storelogo.jpg?1680692451,5183,Aqualogica
99515,Buy Mood Matching Lip Gloss Gift Sets at 37% Off,Bella Vita,"Food & Grocery,Entertainment,Services",Elevate your look with Mood Matching Lip Gloss Gift Sets at 37% off!Only Rs.349 for a limited time.Everyone is eligible - hurry while stocks last!Grab this deal and match your mood effortlessly!,,"",https://linksredirect.com/?pub_id=203477&url=https://bellavitaorganic.com/,live,2025-05-21,2026-10-31,21/05/2025,https://cdn0.cuelinks.com/campaigns/4384/original/logo20250811-2181357-1hbg73p.jpg?1754903633,4384,Bella Vita
99574,Buy Smart Watches Under Rs.2000,Gonoise,"Food & Grocery,Travel",Smart watches available starting at Rs.1399.Elevate your daily routine with these gadgets.Open to everyone – no special conditions!Claim your savings and shop today!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.gonoise.com,live,2025-05-21,2026-12-31,21/05/2025,https://cdn0.cuelinks.com/campaigns/3278/original/NoiseLogo-01_%281%29.png?1713530556,3278,Gonoise
99581,Washing Machines - Starting at Rs.9990,Vijay Sales,Food & Grocery,Fantastic savings on essential home appliances.Limited stock available—act fast!Find the perfect fit for your home.Grab this deal and enjoy hassle-free laundry!,,"",https://linksredirect.com/?pub_id=203477&url=http://www.vijaysales.com/,live,2025-05-21,2026-11-23,21/05/2025,https://cdn0.cuelinks.com/campaigns/4164/original/Vijay_sales.png?1597990342,4164,Vijay Sales
99638,Free SuperJet Blender Worth Rs.2999 on Orders Above Rs.2999,The Good Bug,"Food & Grocery,Entertainment,Services","Grab a free SuperJet Blender, a Rs.2999 value!Place an order of Rs.2999 or more to qualify.All customers can take advantage of this offer.Apply the promo code to claim your blender.",,SUPERBLEND,https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2027-02-28,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
99641,Buy Fermented Pickle Khimchi Only at Rs.299,The Good Bug,Health & Beauty,"Get your hands on our tasty Fermented Pickle Khimchi for just Rs.299.No order limit – buy any amount!Offer valid for all customers.Don’t miss out, grab this deal now!",,"",https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2027-06-30,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
99644,Limited Time: Kombucha Probiotic Tea for Only Rs.120!,The Good Bug,Health & Beauty,"Get your hands on our Kombucha | Fermented Probiotic Tea for just Rs.120.All customers welcome - no minimum purchase needed!Enjoy delightful flavors such as Apple Cinnamon, Strawberry Ginger, Original, and Pineapple Basil.Don't miss out - Order Yours Today!",,"",https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2026-09-30,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
